12673 194251
1483 fuskade 16
1484 nyligen 10
1485 hovrätten 15
1486 eulagen 6
1487 dröja 3
1488 kostade 4
1489 laga 10
1490 tåget 22
1491 världskriget 12
1492 hjälptes 1
1493 åt 38
1494 liga 4
1495 smuggling 1
1496 narkotika 2
1497 byter 6
1498 henke 16
1499 larsson 40
1500 klubb 14
1501 anledning 8
1502 orolig 11
1503 fotbollförbundet 8
1504 spelas 47
1505 helsingborgs 5
1506 if 7
1507 flest 24
1508 huvudstaden 57
1509 sköterskan 1
1510 utpekad 1
1511 medan 6
1512 ansvariga 6
1513 vården 1
1514 ansvar 13
1515 turkiet 47
1516 hotar 17
1517 eukommissionen 37
1518 ifall 1
1519 pratar 12
1520 frisk 41
1521 fortare 1
1522 saknade 15
1523 klaga 6
1524 högsta 42
1525 domstolens 3
1526 dom 15
1527 skadades 96
1528 undersökning 68
1529 skolelever 1
1530 ryttarinna 1
1531 bronsmedalj 10
1532 hästhoppning 3
1533 expert 9
1534 tillverka 15
1535 månads 1
1536 brydde 1
1537 larm 3
1538 våldtäkt 12
1539 folkgrupper 9
1540 bråkar 11
1541 bengtåke 10
1542 gustafsson 13
1543 leda 16
1544 vårens 1
1545 ishockeyvm 8
1546 kommit 69
1547 ordning 12
1548 slutspelet 14
1549 riktig 22
1550 otur 7
1551 mötas 3
1552 gång 42
1553 henne 64
1554 olyckligt 2
1555 eva 6
1556 fernvall 1
1557 nyhetsbyrån 31
1558 smittan 21
1559 sprids 16
1560 östra 7
1561 moses 2
1562 blah 2
1563 elpriserna 3
1564 framtiden 28
1565 kontroller 3
1566 strängare 3
1567 elbolagen 6
1568 silvret 3
1569 italiens 13
1570 di 6
1571 centa 1
1572 bronset 4
1573 estil 2
1574 iran 28
1575 fångar 93
1576 startade 34
1577 berlusconi 30
1578 flög 7
1579 kommunminister 2
1580 svenerik 3
1581 österberg 3
1582 helikopter 8
1583 kronobergs 3
1584 län 8
1585 dödas 10
1586 striderna 40
1587 anna 119
1588 lindberg 6
1589 europatävling 1
1590 källström 8
1591 lägga 6
1592 straffar 9
1593 helt 104
1594 nämligen 3
1595 ställa 10
1596 grannar 1
1597 söka 5
1598 skydd 9
1599 åkarna 3
1600 jaga 10
1601 ifatt 6
1602 rebellerna 30
1603 svenskorna 26
1604 först 69
1605 femmilen 2
1606 skidvm 10
